recycling:small_appliances,1
website:es,1
color,1
man_made:historic,1
recycling:gift_card,1
description:en,1
fieldcheck:date,1
tiger:name_direction_prefix_2,1
Phone,1
snowmobile,1
aerodrome:type,1
socket:type1_combo,1
toilets:male,1
public_transit,1
note:maxwidth,1
building:levels:underground,1
addr:street_1,1
townhall:type,1
sac_scale_ref,1
alt_name:es,1
radar_transponder,1
surveillance,1
disused:sport,1
fuel:octane_95,1
proposed:cuisine,1
payment:visa,1
animal_boarding,1
bottle,1
landmark,1
change:lanes,1
collection_time,1
Category,1
restrooms,1
guest_house,1
ski,1
payment:discover_card,1
SFBayTrail:trail_type,1
recycling:light_bulbs,1
name:historical,1
retreat,1
tram,1
disused:leisure,1
seating,1
alt_name:am,1
centre_turn_lane,1
business,1
building:min_levels,1
trees,1
fixme*,1
service area,1
monitoring_station,1
plant:output:electricity,1
future_name,1
repair,1
SFBayTrail:seg_num,1
craft:historic,1
pipe_type,1
tasting,1
atm:opening_hours,1
z_order,1
wholesale,1
rooms,1
disused:name,1
monument,1
display,1
crossing_ref,1
addr:housenumber_4,1
capacity:women,1
alcohol,1
yelp,1
closest_town,1
